Movie,Rating
The Shawshank Redemption,9.2," Tied for the best movie I have ever seen
"," A classic piece of unforgettable film-making.
"," Prepare to be moved
"," This is How Movies Should Be Made
"," Shawshank Redeems Hollywood
"," Some birds aren't meant to be caged.
"," Don't Rent Shawshank.
"," Stephen King's best adapted movie
"," The Shawshank Redemption
"," Two movies in one
"," Simply known as ""The Movie""
"," Simply amazing. The best film of the 90's.
"," The absolute GREATEST movie of all time.
"," The best story ever told on film
"," Oh my godmother
"," its an excellent piece of art
"," I make the questions here!
"," Hope can set you free and so can this remarkable film
"," Busy dying or busy living?
"," This is a wonderful movie!!!!
"," From my favorite movies..
"," Eternal Hope
"," Prison thriller with violence, hatred, corruption, friendship and joy.
"," prison escape
"," Greatest movie of all time!
"
The Godfather,9.2," The Pinnacle Of Flawless Films!
"," For Me, This Is The Definitive Film
"," ""The Godfather"" is pretty much flawless, and one of the greatest films ever made
"," Another kind of ""family movie""
"," An Iconic Film
"," Magnificent portrait of organized crime
"," Initially, I wasn't a fan... but then I realised
"," A Masterpiece
"," This Movie Has Haunted My Life...
"," perfect
"," An Epic, Masterful Look into the Underground World
"," The world inside the underworld!
"," An exquisite Mafia epic with outstanding performances...
"," The Greatest Movie Ever Made
"," A film of great power and a milestone in the history of the cinema
"," The Godfather
"," For me it isn't ""the greatest ever"", but it's still great
"," Great look at a family based around crime
"," One Can See Why It's So Highly-Rated
"," The Pioneer of All Filmmaking
"," Slightly overrated
"," A movie that can not be abandoned
"," Count Me In The Minority
"," A Potpourri of Vestiges Review: A cinematic magnum opus
"," Very Average Film. Very Overrated
"
